asset_type,transaction_hash,timestamp,value_usd
Bitcoin,cb2fc9619771bcaabeafb5fe3925bcc7c45f78b0912393a17d627f4a22325400,30/06/2023,671604.5638172572
Bitcoin,9882509dec0a643f5b6ec7b39fe60bacd1cdda3bd992baefebc23257146800c6,30/06/2023,1245050.5242569032
Bitcoin,31826c7904d3c2c03ec6077eec9d8e1b826bd185068be7e311eea3bc95e19606,30/06/2023,8573283.585763352
Bitcoin,2312297c4db69d7901e665c85f19d567a21d52f687b98c9ffe2df52b4610e1ac,30/06/2023,1346675.7206039177
Bitcoin,f2b98ca8197681cd74a0f18369f833971ecee5f7a8563ec5695e056a39df078e,30/06/2023,673791.7003429924
Bitcoin,9196b10c8f7c754a9390a4fb0c3dbf807ecf5dc3c077eeea354385e4e75996a9,30/06/2023,677435.1061465988
Bitcoin,e88e1f68a9699dc36f9784b4547c4669208026519083ee3459988ba3d29f28e2,30/06/2023,2194085.817843834
Bitcoin,01529597f677fdb2c744f9eb43a3178af11ecd3906cf27b86152314cf4a4f8c0,30/06/2023,674292.961735898
Bitcoin,e0dc63e044980a4f0c16655d1ef2e460a5fe91fdc4c40405e2c59872346999a1,30/06/2023,673886.0002810884
Bitcoin,4372950ed47f5789c88662ecace4c297f01220ee864feab8eb9de5db82fe6c0e,30/06/2023,8574695.196298886
Bitcoin,3b41741ccebb7d231d231cdf03b7d5077c22b2118cc9f5b3342e0ef1e90fcdf8,30/06/2023,680339.0482979085
Bitcoin,42452b77fbbb86bfb8a98346ad37859b13adbd877f46f1d3195cc78f8985a0da,30/06/2023,2026333.095512221
