asset_type,transaction_hash,timestamp,value_eth,value_usd
ERC20,0xbca98a743ea606a35b1af10f4979eed63cde7a936295e4b45864dff17677c6d4,02/05/2023,7.2e-09,1.3476744e-05
ERC20,0xf51256457488ad61b052d7e0d9fab6e7d772f012d2aa372f6f6eb510b3b28a72,04/05/2023,1e-08,1.87856e-05
ERC20,0x52db202b2f8b34fa7c3bec1021b0cf7be706746c4d8cd1695c21a0e0256f104d,05/05/2023,3.3e-09,6.587922e-06
ERC20,0xf6d50e549839c71bbf3ce1a8d9f5e65cc77107a2adafaf454bdd9dc6504445f5,15/05/2023,1.5e-08,2.7252749999999998e-05
ERC20,0x4dbd985da698e72b40617b3a02157c09dbf7b2f5778144a1748a54ad30d395c3,18/05/2023,1.8e-07,0.00032410079999999996
ERC20,0xa7707eefb4d3939d1d0d5c6b6dc0a1d7219c247a63f90485a25da599656c02f0,19/05/2023,2.5e-09,4.5318250000000004e-06
ERC20,0xd4f7ddb0b26a6d02e91994e033c3f485a221135ba39433f1dac8d7adccaac30f,19/05/2023,1.16440042e-09,2.1107435733466e-06
ERC20,0xca33782d3df2d6c39a86b1430db194ea10f9093fc79f2730cbe940160e8bc174,26/05/2023,1e-08,1.82869e-05
ERC20,0x0a4ae0c257e2d845cf6e2c71ff0a3ccbd4ca5cfefa94dd1f928ca72fbb5d9569,31/05/2023,2.9e-09,5.434715999999999e-06
ERC20,0x2eaacb15cc79cce68638c84b6ad9a41ee328549ac0520d2884e1d57dabc45baa,01/06/2023,5e-09,9.31065e-06
ERC20,0x7970f9d264578a5ffda287e8f48b89349d535f3abc30a25fc936b20e2994efab,02/06/2023,7e-09,1.3351589999999999e-05
ERC20,0x3a7f8d3bfaeee82e38973ccc86c48e36eefa334fc82ccf2030f0e2fb35291f76,06/06/2023,7e-09,1.320312e-05
ERC20,0x74721855db05cb4519fa2a8bd5b8421d797a8f877944dfa24dd3ecc9a27a3846,07/06/2023,1.3e-08,2.3821590000000002e-05
ERC20,0xb962ca2da7c6e773ac2f0c07f3cedfc4e7a88ff866017ea0006867b756a6203d,08/06/2023,1.5e-09,2.769315e-06
ERC20,0xf2bf7965332bf36375543666b4ac75b31d00458c2b01fe01ec2ad64b498fe636,13/06/2023,6e-09,1.04355e-05
ERC20,0x36bb2a47d3b6e0581062ff561ccf8732260c4f997ccaf7e2bc4d37425cb58aae,16/06/2023,1.5e-09,2.575365e-06
ERC20,0x40dcaa62e340192da7e512217f99ba9ca9f6911191da7a3d17814331eed8ca45,16/06/2023,4e-10,6.867640000000001e-07
ERC20,0x3d4d365ee93545b89ca914a12ad11b352a4342dbb225ea626d76fe9b6ceeedbc,19/06/2023,1.988877734e-09,3.4541436269698203e-06
ERC20,0x425527340e09d0b3a516f5073cdbc223dcb0e4d5d08d242e297f96ff9621ef93,19/06/2023,1.3e-08,2.257749e-05
ERC20,0xea757fb84515b4f4e4e0460da5d291df8e797485d28eef1f54b989a3f6fa75d8,21/06/2023,3e-10,5.66907e-07
ERC20,0x6d78dc1cc4019f78b9f966890602e62542ce8c89469ae2bf385244b9b2c48857,23/06/2023,1.1e-08,2.082828e-05
ERC20,0x6ae9a86459d80128fe325e0923edad2a3f93504beac00136ff832e3de9981e27,26/06/2023,5e-10,9.29595e-07
