asset_type,transaction_hash,timestamp,value_eth,value_usd
ERC20,0x2157f6090195fca0bbfafc5b6e154e6cfa58c63c11a077189a933bb20cf82943,02/05/2023,7.2e-09,1.3476744e-05
ERC20,0xbb5e351eae6adfbad67d088c7000db80fa030feb499061b68330b58c336d49ea,04/05/2023,1e-08,1.87856e-05
ERC20,0x5fef1f9df080cc04639318c35ba6ffddbf1021b837ccc535c0177a5f40257282,05/05/2023,3e-09,5.9890199999999995e-06
ERC20,0x345e773488bf03cc4ebb21b1b9103f87d3ce726bba42328b11ab155d114fe83e,05/05/2023,8e-11,1.5970719999999997e-07
ERC20,0xe83cb991bc0a8e581e734ef3eda85929ff07c503b340d87985b974d06297c57c,05/05/2023,8e-11,1.5970719999999997e-07
ERC20,0x137111a0a5ffd64b6ca174b87569b71c581a909ad2309cb95a195ecc3e709adf,05/05/2023,7e-11,1.397438e-07
ERC20,0xc5c613a88e7056b633f1cd5d74808cc6c4e9d74cf11407ac3129c79b5228e6b4,05/05/2023,1.4e-10,2.794876e-07
ERC20,0xa3f1571b9fba5505dd24168e02c7469d9000a97b63628f06347a8148a2f03c6a,12/05/2023,1.1e-10,1.989042e-07
ERC20,0xd9cd2f83619266e35d5de4e9cc4118b04b7daf0d80b1209ae4f4a52491b6417c,15/05/2023,5e-09,9.08425e-06
ERC20,0x22584be740a686e73b8713e87bb8bb3e9226611087315b89c624f3e99a4852ef,15/05/2023,5e-09,9.08425e-06
ERC20,0xec940f7a50a31d96367dbacb6cd492e0f6913e8f625650b8c7850c77802b4cee,15/05/2023,1e-08,1.81685e-05
ERC20,0x0cda91c7ec038ec78653b7de25da707583a2f19db42edb30ed56ae8d920f0104,18/05/2023,1.791482704e-07,0.00032256720975142397
ERC20,0xbc2ca39f0b7209d885972dc2ea5acf4a3ec94ff5c2e8134a36d2a6de922a1113,18/05/2023,1.791482704e-07,0.00032256720975142397
ERC20,0x4b4ea01052d6e26c0cadb22a278540d73cd1623d5719a599312be2586cac0437,19/05/2023,1.1e-10,1.994003e-07
ERC20,0xaeaf2aaf79e7d2d22db611ea70a6164b54a1124c2686dfb0544487f913c66084,19/05/2023,1.1e-10,1.994003e-07
ERC20,0xa70147ec541c6651122e0e32509351127600c5ea1ce0eb35492eaa87f469a85b,19/05/2023,6e-11,1.087638e-07
ERC20,0x69d591bb842396da686d86d1c4ca72b83813e28d6cadf4be46364a57f8547ba8,19/05/2023,6e-11,1.087638e-07
ERC20,0xd1eb59c05769f7df7a2daefa4b818014c993707c9f9f417855739dad15e8e9a0,23/05/2023,2e-09,3.7089400000000004e-06
ERC20,0xba8a31ffabf93dd84a009bb0e5ae785dfa402d75ab34d8fefef6770782e203b3,23/05/2023,2e-09,3.7089400000000004e-06
ERC20,0x80e24c1302d24b74671caf20fd866375297fc179a7cfff3ca44c74f0bef56f52,26/05/2023,1.3e-10,2.377297e-07
ERC20,0xb38093746fdd906673c5cfdb28dd09dc1a30f4dfcf281d2f72c83f9ca8e9463f,26/05/2023,8.5e-11,1.5543865000000002e-07
ERC20,0xabbf49af515610b013a11c219069cf5a94703cf281a044923f38d7a599c4f860,26/05/2023,1.3e-10,2.377297e-07
ERC20,0xabbf49af515610b013a11c219069cf5a94703cf281a044923f38d7a599c4f860,26/05/2023,8.5e-11,2.377297e-07
ERC20,0x5d525b22b3c4fcab85d65be01cbcfe29bb9829b5fccdf36d79c41764b40ce9b9,26/05/2023,2e-09,3.65738e-06
ERC20,0x96162da503dc8cf28ffd5a1b9875c058f2223d0f694e782c80c8f988b78ad37f,26/05/2023,1e-08,1.82869e-05
ERC20,0x4c4aca9af9635139193252cf3c172dc2ccc4109eefe1cd6cea6463a42273cc27,31/05/2023,3e-09,5.62212e-06
ERC20,0x9f5bd5c3bec884a070b73a0d21ab99d6e41fc1da5150dd6007ab65eb94525afc,01/06/2023,5e-09,9.31065e-06
ERC20,0x72f3094a9c8c06be96f7b2220eb381243d9a8d943564f449d858bc1b864462de,02/06/2023,7e-09,1.3351589999999999e-05
ERC20,0x73ae4763424cef6acd99ac46bacaf1875fa49f90e253d30fec12c50c742baa9c,06/06/2023,7e-09,1.320312e-05
ERC20,0x1cf868fb8080819d8b50e8e7a7c13422f4867c875667a4ffa78be6b313b2249c,07/06/2023,1e-08,1.83243e-05
ERC20,0x3df02dc3b53338b60c4ea371a4ce6961601b8af620822a3736840a693f37c7a9,07/06/2023,1e-08,1.83243e-05
ERC20,0xb670496a32b49fd0da77f1506c4dea26be9801026b0e4a5051b6dbf686c174a8,07/06/2023,3e-09,5.49729e-06
ERC20,0x785aa9fb2eaff53d2b74331ad97d34d2154dea699bc908e08df07b537832d6e7,08/06/2023,1.5e-09,2.769315e-06
ERC20,0x8fc031921b1aa441913cb94b628d9bd15eb2a3f3405487f461332427cf91f553,12/06/2023,1.35e-10,2.352537e-07
ERC20,0x21b4bbba0b93d76377a3cb66ff0d6e0ed28954be16319d526bd358597612c0c7,13/06/2023,3e-09,5.21775e-06
ERC20,0xd714d5d8899af0853aeb5cf0ca88dbcd30364bb040e29ebe7f088574eab94cba,13/06/2023,3e-09,5.21775e-06
ERC20,0x5d75b42aed7506d0a7567b39bddfccec5a6f0175f9c2fceccf9b18931e37480d,13/06/2023,3e-09,5.21775e-06
ERC20,0x7268b07d7a8852f84731992ea1517feab95e4c2dd54ea895a2241a0a74b742b3,13/06/2023,3000.0,5217750.0
ERC20,0xc7e4c2a5afbfd6a5ba91762177552154e3be3873e6e68f32b5c47e7a914e9bb1,13/06/2023,3e-09,5.21775e-06
ERC20,0xd1fa4ddb752ad60887f4649d24abee0a071d82f621935187415b7eac5b42d1f2,16/06/2023,1.5e-09,2.575365e-06
ERC20,0xe8f3cef7b71e8f5f14f66bfa953f2be93dc88f88ca9055c94c65f6cc2dd8e706,16/06/2023,1e-10,1.7169100000000003e-07
ERC20,0x6bfed9c5fc733913d880d635497e8c59fd75088c0ca44b06fef4558d617c818a,16/06/2023,9.5e-11,1.6310645e-07
ERC20,0x5b5d639f8d4d30030c5399caa28e78795d5e9bb0d4f8e3eedc1c87237f8ad1a0,16/06/2023,1e-10,1.7169100000000003e-07
ERC20,0x32f7517208169726f0cfad766d830b304787d60195d39fc2a69ed74cda2ce1de,16/06/2023,8e-11,1.373528e-07
ERC20,0xcc5b2c0fe2cc68e38b6dd43ff8ea0e6ba1cc7213e48fe0377a9524332cd1dd80,19/06/2023,5e-09,8.68365e-06
ERC20,0xec9fdc80f32b97a8fe89565833ce8e67f0527efd40dfe8c09cba408bfefc0bb0,19/06/2023,5e-09,8.68365e-06
ERC20,0x5d8ff7ed018ec023c8b4bf60535ab94d6205bbcbf11b0972d820512d519c8bb6,19/06/2023,1e-08,1.73673e-05
ERC20,0xe43b397f2cde19d8f956ac97c5fb632e3c64b99fbe2bb552fdbf6a556be96e6d,21/06/2023,3.15e-10,5.9525235e-07
ERC20,0x8e345b2561e779d53231e70a486a623c6c5f3c6e3e4948886668d56ac43c6474,23/06/2023,4e-09,7.57392e-06
ERC20,0x68335dbec1181c88708e3f8e268c80f396d377226369d5b6916bfe834ca17f5f,23/06/2023,4e-09,7.57392e-06
ERC20,0x4ba5b296528aa8d5fc062c3bb279278abe1e09b2b66fbb95cfed6386e0b84cf9,23/06/2023,5e-09,9.4674e-06
ERC20,0x3ad38507d00e110db3e3689d141265544b79d55283d8c190982dea1c2c90a329,23/06/2023,5e-09,9.4674e-06
ERC20,0x9de4eaed1a6305973bb5f98782efc4403c09e02323d5a3ab645b32f5f0ceb3e1,23/06/2023,2e-09,3.78696e-06
ERC20,0x624df32d5fc02386c9e8d4c9f78dd383bc1dcd584c5d0e3db6088ffea50d468f,26/06/2023,9e-11,1.673271e-07
